LON,LAT,EDO,CLAVE,ESTACION,abr-25
-108.7025,26.426944,SIN,JORSI,"Josefa Ortiz de Domínguez, Sin.",0
-106.9,23.916667,SIN,LCRSI,"La Cruz, Sin.",0
-108.35,26.904167,SIN,LD2SI,"Huites hidrométrica, Sin.",0
-108.367778,26.844722,SIN,LDCSI,"Luis Donaldo Colosio, Sin.",0
-109,25.8,SIN,MCHSI,"Los Mochis, Sin.",0
-106.4,23.233333,SIN,MZTSI,"Observatorio de Mazatlán, Sin.",0
-107.440556,24.634722,SIN,OBSSI,"Observatorio de Culiacán, Sin.",0
-108.58,26.509722,SIN,PMHSI,"Miguel Hidalgo, Sin.",0
-106.466667,23.5625,SIN,QLTSI,"Quelite, Sin.",0
-107.755833,25.124722,SIN,RAVSI,"Estación Rancho Viejo, Sin.",0
-105.85,22.983333,SIN,RSRSI,"Rosario, Sin.",0
-107.843333,25.485556,SIN,SANJUAN,"San Juan, Sin. SMN*",0
-108.779167,26.073611,SIN,SFRSI,"Sufragio, Sin.",0
-107.8425,25.486667,SIN,SJNSI,"San Juan, Sin.",0
-107.1,24.45,SIN,SLRSI,"San Lorenzo, Sin.",0
-106.695833,24.121944,SIN,SLTSI,"Ing. Aurelio Benassini Vizcaíno, Sin.",0
-107.158333,24.813889,SIN,SN2SI,"Sanalona hidrométrica, Sin.",0
-107.151389,24.815,SIN,SNLSI,"Sanalona, Sin.",0
-106.25,23.35,SIN,SQRSI,"Siqueros, Sin.",0
-109.070278,25.590833,SIN,TOPOLOBAMPOmar,"Topolobampo, Sin. SEMAR*",0
-105.846944,23.088333,SIN,TORSI,"Las Tortugas, Sin.",0
-107.059722,24.7475,SIN,VINSI,"Vinoramas, Sin.",0
-108.358611,25.739167,SIN,ZOPSI,"El Zopilote, Sin.",0
-98.558333,21.972222,SLP,AJTSL,"Las Adjuntas, S.L.P.",0.5
-98.955833,21.748889,SLP,BLMSL,"Ballesmi, S.L.P.",0
-99.016667,21.983333,SLP,CDVSL,"Ciudad Valles, S.L.P.",1
-99.239444,21.906944,SLP,GANSL,"Gallinas, S.L.P.",0.4
-100.820556,21.88,SLP,IVGSL,"Valentín Gama, S.L.P.",0
-100.665833,23.6475,SLP,MA2SL,"Matehuala, S.L.P. SMN*",0
-100.642778,23.656944,SLP,MATSL,"Matehuala, S.L.P.",0.03
-99.159444,22.12,SLP,MICSL,"Micos, S.L.P.",0
-98.8,21.333333,SLP,MTPSL,"Observatorio de Matlapa, S.L.P.",14
-99.32,22.523333,SLP,NRJSL,"Naranjos, S.L.P.",1.3
-100.762222,21.849722,SLP,OCTSL,"Ojo Caliente, S.L.P.",0
-99.830556,21.651111,SLP,PMYSL,"Pedro Montoya, S.L.P.",1.01
-98.939722,21.847222,SLP,PUJSL,"El Pujal, S.L.P.",0
-98.888611,21.425,SLP,RQTSL,"Requetemu, S.L.P.",0
-99.995,21.931389,SLP,RVDSL,"Observatorio de Río Verde, S.L.P.",0.4
-101,22.2,SLP,SGRSL,"Soledad Graciano, S.L.P.",0
-101.019167,22.148056,SLP,SLPSL,"Observatorio de San Luis Potosí, S.L.P.",0
-99.055833,22.02,SLP,STRSL,"Santa Rosa, S.L.P.",14.8
-98.617222,21.692778,SLP,SVTSL,"San Vicente, S.L.P.",0
-99.146111,21.822222,SLP,TANCHACHIN,"Tanchachín, S.L.P. SGT*",8.1
-100.548333,21.629444,SLP,TIESL,"La Muñeca, S.L.P.",0
-99.146111,21.8225,SLP,TNCSL,"Tanchachín, S.L.P.",0
-110.226111,29.825,SON,ACNSO,"Aconchi, Son.",0
-108.937778,27.021667,SON,ALMSO,"Álamos, Son.",0
-111.834444,30.714444,SON,ALTSO,"Observatorio de Altar, Son.",0
-109.8925,27.8225,SON,AOBSO,"Alvaro Obregón, Son.",0
-109.106667,27.226111,SON,ARCSO,"Adolfo Ruiz Cortines, Son.",0
-109.088611,30.07,SON,ARISO,"Aribabi, Son.",0
-110.92,29.076667,SON,ARLSO,"Abelardo Rodríguez Luján, Son.",0
-110.1675,30.335833,SON,ARZSO,"Arizpe, Son.",0.01
-111.921944,28.815,SON,BAHIAKINO,"Bahía de Kino, Son. SMN*",0
-110.238611,30.598889,SON,BCNSO,"Bacanuchi, Son.",0
-108.931667,30.355278,SON,BCRSO,"Bacerac, Son.",0
-112.435278,30.771944,SON,CABORCA,"Caborca, Son. SMN*",0
-109.625,27.416667,SON,CCRSO,"Cocoraque, Son.",0
-111.516389,30.873333,SON,CHTSO,"Cuauhtémoc, Son.",0
-110.736389,29.472222,SON,CJNSO,"El Cajón, Son.",0
-110.290833,30.98,SON,CNNSO,"Cananea, Son.",0.02
-109.931944,27.496389,SON,COBSO,"Ciudad Obregón, Son.",0
-108.7625,26.603611,SON,CZNSO,"Cazanate, Son.",0
-109.233333,29.2,SON,ECBSO,"El Cubil, Son.",0
-110.8,27.95,SON,EPLSO,"Observatorio de Empalme, Son.",0
-110.85,27.95,SON,GYMSO,"Guaymas, Son.",0
-110.916667,29.066667,SON,HM2SO,"Observatorio de Hermosillo, Son.",0
-110.925833,29.073056,SON,HMNSO,"Hermosillo, Son.",0
-108.957222,30.210556,SON,HSHSO,"Huachinera, Son.",0
-110.886944,30.761667,SON,IMRSO,"Imuris, Son.",0.01
-110.396944,28.426389,SON,IRASO,"Ignacio R. Alatorre, Son.",0
-109.378889,30.437778,SON,LCDSO,"Lázaro Cárdenas, Son.",0
-110.783333,29.183333,SON,MLNSO,"El Molinito, Son.",0
-109.6875,30.374444,SON,NCZSO,"Observatorio de Nacozari, Son.",0
-110.947222,31.318889,SON,NGLSO,"Nogales, Son.",0
-110.913889,31.297778,SON,NOGALES,"Nogales, Son. SMN*",0
-109.443333,27.071944,SON,NVJSO,"Navojoa, Son.",0
-112.85,31.866667,SON,NYNSO,"Sonoyta, Son.",0
-109.083333,29.433333,SON,PDNSO,"Paso Nácori, Son.",0
-109.642222,28.976667,SON,PECSO,"Plutarco Elías Calles, Son.",0
-113.304722,31.68,SON,PINACATE,"El Pinacate, Son. SMN*",0
-110.725556,29.2125,SON,PMOSO,"Ing. Rodolfo Félix Valdés, Son.",0
-113.550833,31.352778,SON,PT2SO,"Observatorio de Puerto Peñasco, Son.",0
-110.308333,28.472222,SON,PTASO,"Punta de Agua 2, Son.",0
-112.116667,30.697778,SON,PTQSO,"Pitiquito, Son.",0.01
-111.021389,30.050556,SON,QRBSO,"Querobabi, Son.",0
-114.797778,32.423889,SON,RCOLORADO,"San Luis Río Colorado, Son. SMN*",0
-108.876667,27.411944,SON,SBNSO,"San Bernardo, Son.",0
-111.445278,30.394722,SON,SRSSO,"Santa Rosa 2, Son.",0
-109.5,29.534722,SON,TPCSO,"Tepache, Son.",0
-109.2125,27.658333,SON,TSOSO,"Tesocoma, Son.",0
-110.289722,27.643611,SON,VCMSO,"Vícam, Son.",0
-108.927778,28.371389,SON,YCRSO,"Yécora, Son.",0
-91.483333,17.433333,TAB,BDCTB,"Boca del Cerro, Tab.",39
-93.362778,17.865,TAB,CAMOAPA,"Camoapa, Tab. SGT*",6.8
-93.376389,18.001111,TAB,CARTB,"Cárdenas, Tab.",5.7
-92.916667,17.98,TAB,EMUTB,"Villahermosa Muelle, Tab.",22
-92.814722,18.043611,TAB,EPOTB,"El Porvenir, Tab.",20.3
-93,17.975,TAB,GONTB,"González, Tab.",7.5
-92.167222,18.100556,TAB,JONUTAHM,"Jonuta hidrométrica, Tab. SGT*",30.4
-92.6,17.766667,TAB,MACTB,"Macuspana, Tab.",66.5
-92.75,17.380556,TAB,OXOTB,"Oxolotán, Tab.",6.1
-92.879167,17.854167,TAB,PNVTB,"Pueblo Nuevo, Tab.",34.3
-93.622778,18.175,TAB,POBLADOC11,"Poblado C11, Tab. SGT*",15.1
-92.877222,18.010833,TAB,PORVENIR,"Porvenir, Tab. SGT*",18.2
-92.976944,17.980278,TAB,POSTA,"La Posta, Tab. SGT*",18.1
-92.9375,17.566667,TAB,PUYTB,"Puyacatengo, Tab.",32.4
-93.275556,17.996944,TAB,SAMTB,"SaMaría, Tab.",22
-92.778611,17.456944,TAB,TAPTB,"Tapijulapa, Tab.",0
-92.333889,17.840556,TAB,TEPETITAN,"Tepetitán, Tab. SGT*",22.3
-98.39,24.065556,TAMPS,ABSTP,"Abasolo, Tamps.",0
-99.145556,22.986944,TAMPS,AHLTP,"Ahualulco, Tamps.",4.4
-97.926944,22.386111,TAMPS,BALTP,"Bombas Altamira, Tamps.",7.9
-99.123056,24.080556,TAMPS,BR1TP,"El Barretal Uno, Tamps.",0
-99.215,24.1025,TAMPS,BRRTP,"El Barretal, Tamps.",0.3
-98.5975,26.238056,TAMPS,CDOTP,"S J 2 18 Ciudad Díaz Ordaz, Tamps.",0.01
-98.8,26.25,TAMPS,CMGTP,"S J 2 11 Camargo, Tamps.",2.5
-99.148611,26.430556,TAMPS,CMRTP,"Mier, Tamps.",2.5
-97.817778,25.966389,TAMPS,CONTP,"Control, Tamps.",10.5
-98.935833,23.939167,TAMPS,CORTP,"Corona, Tamps.",0
-98.189444,26.016389,TAMPS,CRAEREYNOSA,"CRAE Reynosa, Tamps. SGT*",3
-99.166667,23.716667,TAMPS,CVCTP,"Observatorio de Ciudad Victoria, Tamps.",21.3
-99.1875,23.730278,TAMPS,CVTTP,"Ciudad Victoria, Tamps.",17.5
-99.078611,23.384444,TAMPS,ENNTP,"La Encantada, Tamps.",0.9
-98.691667,22.605,TAMPS,ERCTP,"Estudiante Ramiro Caballero Dorantes, Tamps.",0
-98.159167,24.841944,TAMPS,FDOTP,"San Fernando, Tamps.",0.5
-99.170556,26.560278,TAMPS,FLCTP,"Internacional Falcón, Tamps.",4.57
-99.154722,23.046667,TAMPS,GOMEZFARIAS,"Gómez Farías, Tamps. SGT*",2.1
-97.953333,23.166389,TAMPS,LAETP,"La Esperanza, Tamps.",6.4
-99.233611,26.408889,TAMPS,LBLTP,"Derivadora Las Blancas, Tamps.",0
-99.120556,22.852778,TAMPS,LSRTP,"La Servilleta, Tamps.",10.61
-99.551944,24.567778,TAMPS,MAGTP,"Magueyes, Tamps.",2.5
-97.522778,25.833333,TAMPS,MATTP,"Matamoros, Tamps.",128.2
-97.844167,22.283889,TAMPS,MDRTP,"Madero, Tamps.",5.6
-98.586389,25.1175,TAMPS,MENTP,"Mendez, Tamps.",0.1
-99.040833,26.374167,TAMPS,MGATP,"S J 1 2 Miguel Alemán, Tamps.",2.5
-98.705556,22.795833,TAMPS,MGSTP,"Magiscatzín Dos, Tamps.",0.01
-98.713611,22.797222,TAMPS,MGZTP,"Magiscatzín, Tamps.",6
-99.434444,24.2525,TAMPS,MHGTP,"Miguel Hidalgo, Tamps.",1.8
-98.925556,26.204722,TAMPS,MRGTP,"Marte Rodolfo Gómez, Tamps.",0
-98.903611,24.043889,TAMPS,PADTP,"Padilla, Tamps.",0.01
-97.8,25.8,TAMPS,PANTP,"Pueblo Anáhuac, Tamps.",0
-98.745833,23.726667,TAMPS,PDMTP,"Paso de Molina, Tamps.",0
-99.019167,24.208056,TAMPS,PILTP,"Pilón, Tamps.",0
-99.555833,24.2475,TAMPS,PJMTP,"Pedro José Méndez, Tamps.",1
-99.583333,24.183333,TAMPS,PVLTP,"Puerto de Valles, Tamps.",0.5
-99.026111,22.843056,TAMPS,RFRTP,"Río Frío, Tamps.",0
-98,25.966667,TAMPS,RIBTP,"Río Bravo, Tamps.",15.2
-97.991944,23.259444,TAMPS,RSPTP,"República Española, Tamps.",13.2
-98.285833,26.079722,TAMPS,RYATP,"S J 3 42 Reynosa, Tamps.",0.01
-98.883333,26.166667,TAMPS,RYNTP,"S J 2 9 Reynosa, Tamps.",0.01
-99.093056,23.031389,TAMPS,SBNTP,"Sabinas, Tamps.",5.5
-98.869444,22.784444,TAMPS,SDATP,"Saca de Agua, Tamps.",1
-98.7875,23.085556,TAMPS,SGBTP,"San Gabriel, Tamps.",2.6
-98.208889,23.762222,TAMPS,SLMTP,"Observatorio de Soto la Marina, Tamps.",0
-98.791389,22.943889,TAMPS,SLZTP,"Lic. Emilio Portes Gil, Tamps.",6.01
-99.274167,24.0225,TAMPS,STETP,"Santa Engracia, Tamps.",0.01
-97.876111,22.238333,TAMPS,TMPTP,"Sistema Lagunero del Río Tamesí, Tamps.",8.7
-98.421944,22.413611,TAMPS,TMSTP,"Tamesí, Tamps.",0
-97.804167,25.906111,TAMPS,VCATP,"Villa Cárdenas, Tamps.",5.1
-98.666389,23.959444,TAMPS,VGRTP,"Vicente Guerrero, Tamps.",0
-97.8,25.7,TAMPS,VHMTP,"Valle Hermoso, Tamps.",5
-99.551111,24.566667,TAMPS,VSMTP,"Victoria San Marcos, Tamps.",15
-98.131389,19.428611,TLAX,APITL,"Apizaco, Tlax.",24.5
-98.563889,19.586111,TLAX,CPPTL,"Calpulalpan, Tlax.",4.7
-97.769722,19.298889,TLAX,CUATL,"Cuapiaxtla, Tlax.",40.6
-97.6475,19.318056,TLAX,ECTTL,"El Carmen Tequexquitla, Tlax.",19
-98.246944,19.324722,TLAX,OBSTL,"Observatorio de Tlaxcala, Tlax.",6.6
-98.200556,19.556111,TLAX,SJATL,"San José Atlanga, Tlax.",5
-98.243056,19.219444,TLAX,ZACTL,"Zacatelco, Tlax.",12.7
-97.908056,19.200278,TLAX,ZITTL,"Zitlaltepec, Tlax.",81
-96.843889,19.695833,VER,ACAVC,"Acatlán, Ver.",25.03
-96.5875,19.495,VER,ACTVC,"Actopan, Ver.",29.1
-94.144444,18.141667,VER,AGDVC,"Agua Dulce, Ver.",5.01
-97.68,20.93,VER,ALAVC,"Alamo Temapache, Ver.",2.5
-97.234722,19.7625,VER,ALTVC,"Altotonga, Ver.",14.5
-96.736111,19.621667,VER,ALUVC,"Alto Lucero, Ver.",21.12
-97.673889,20.907222,VER,APCVC,"Alamo PC, Ver.",0
-95.4375,18.583333,VER,ARCVC,"Angel Rosario Cabada, Ver.",12.6
-97.236944,19.885833,VER,ARRVC,"Arroyo Colorado, Ver. PC",8.52
-96.944444,19.588889,VER,BANVC,"Banderilla, Ver.",45.01
-96.933333,19.483333,VER,BRIVC,"Briones, Ver.",43.42
-96.971667,19.948889,VER,BUVVC,"Buena Vista Protección Civil, Ver.",46.1
-97.825833,21.214444,VER,CAMVC,"La Campechana, Ver. Protección Civil*",0
-95.8,18.3,VER,CCLVC,"Chacaltianguis, Ver.",0
-96.994444,19.332778,VER,CDCVC,"Cosautlán de Carvajal, Ver.",27.01
-96.697778,19.433056,VER,CEGVC,"Cerro Gordo, Ver.",7.5
-96.9025,20.172778,VER,CEPVC,"Pital Protección Civil, Ver",9
-96.853611,18.563333,VER,CHMVC,"Chicomapa, Ver.",92.11
-96.881944,20.118889,VER,CHPVC,"Chapa Chapa Protección Civil, Ver.",1
-98.155833,21.7375,VER,CHYVC,"Paso de Piedras, Ver.",0
-97.470556,20.253056,VER,CIRVC,"El Ciruelo, Ver. PC",1
-97.545,21.068333,VER,CLHVC,"Chalahuite, Ver.",3.41
-96.939444,19.453889,VER,COAVC,"Coatepec, Ver.",26.71
-97.470833,20.252778,VER,COMVC,"Comalteco, Ver. PC",2.3
-94.4,18.1,VER,COTVC,"Observatorio de Coatzacoalcos, Ver.",1
-96.374444,19.364722,VER,CRDVC,"Cardel, Ver.",0
-95.295833,18.144444,VER,CTTVC,"Cuatotolapan, Ver.",0.01
-96.666389,19.361667,VER,CUMVC,"La Cumbre, Ver.",11
-95.970833,19.040833,VER,ELSALADOmar,"El Salado, Ver. SEMAR*",0
-96.36,19.405833,VER,ENRVC,"El Naranjillo, Ver.",0
-96.158333,19.068889,VER,ETEVC,"El Tejar, Ver.",0
-97.556389,20.179167,VER,FABVC,"La Fábrica Protección Civil, Ver.",16.5
-96.9975,18.897778,VER,FORVC,"Fortín, Ver.",34.1
-97.363889,21.092222,VER,GALVC,"Barra Galindo PC, Ver.",0
-95.556944,18.270556,VER,GARVC,"Garro, Ver.",5
-98.459167,21.773611,VER,HGOVC,"El Higo, Ver.",0
-98.2875,21.194444,VER,HLSVC,"Los Hules, Ver.",0
-96.950833,19.181667,VER,HTSVC,"Huatusco, Ver.",9.2
-98.483333,20.533333,VER,HUYVC,"Huayacocotla, Ver.",13
-96.554167,19.404167,VER,IDOVC,"Idolos, Ver.",0.01
-97.2175,21.471667,VER,ISLALOBOSmar,"Isla Lobos, Ver. SEMAR*",0
-94.666667,17.95,VER,JALVC,"Jaltipán, Ver.",3.1
-95.033333,17.433333,VER,JCRVC,"Jesús Carranza, Ver.",3
-94.088889,17.873611,VER,JDCVC,"San José del Carmen, Ver.",3.5
-97.021111,19.603611,VER,JOYVC,"La Joya, Ver.",18.52
-95.35,18.25,VER,LAUVC,"Lauchapan, Ver.",0.01
-94.330833,18.109444,VER,LCAVC,"La Cangrejera, Ver.",11
-97.231944,18.922778,VER,LGRVC,"Loma Grande, Ver.",20
-96.978333,20.051944,VER,LIBVC,"Libertad, Ver.",18.92
-96.411111,19.261389,VER,LOFVC,"Loma Fina, Ver.",0
-97.236944,18.925278,VER,LOMAGRANDE,"Loma Grande, Ver. SMN*",13.8
-97.144722,20.018889,VER,LPAVC,"La Palmilla Protección Civil, Ver.",4.8
-94.916667,17.416667,VER,LPEVC,"Las Perlas, Ver.",0.01
-97.1,19.65,VER,LVRVC,"Las Vigas de Ramírez, Ver.",3.1
-97.691111,20.274722,VER,MACVC,"Macedonio Alonso, Ver.",17
-97.048333,20.0675,VER,MDTVC,"Martínez de la Torre, Ver.",14.9
-96.333333,19.15,VER,MFAVC,"Manlio Fabio Altamirano, Ver.",0
-98.045,20.8325,VER,MILVC,"Milcahual, Ver.",0
-94.771111,18.135278,VER,MNZVC,"Minzapan, Ver.",2.82
-97.097778,20.421944,VER,MRRVC,"El Morro, Ver. PC",4
-96.833333,19.933333,VER,MZNVC,"Misantla, Ver.",52.7
-96.873611,19.650556,VER,NACVC,"Naolinco AC, Ver.",22.5
-96.872222,19.65,VER,NAOVC,"Naolinco, Ver.",24.61
-98.503889,21.832222,VER,OLVVC,"El Olivo, Ver.",0.2
-97.1,18.85,VER,ORZVC,"Observatorio de Orizaba, Ver.",26.71
-96.97,19.55,VER,OTIVC,"Otilpan, Ver.",56.1
-96.399444,18.837778,VER,PARVC,"Paso Real Protección Civil, Ver.",0.11
-96.918056,19.48,VER,PAVVC,"Pacho Viejo, Ver.",33.32
-94.3775,18.103611,VER,PB3VC,"Planta de bombeo 3 de La Cangrejera, Ver.",4.01
-97.814444,21.184444,VER,PEMVC,"El Moralillo, Ver.",0
-96.210833,18.931389,VER,PEPVC,"La Pepehua Protección Civil, Ver.",0
-97.268333,19.545,VER,PEROTESMN,"Perote, Ver. SMN*",0
-96.979722,19.588611,VER,PILVC,"Piletas, Ver.",40.4
-98.176667,22.06,VER,PNCVC,"Pánuco, Ver.",2.01
-97.316667,20.45,VER,PPNVC,"Papantla, Ver.",0
-97.478333,20.540833,VER,PRCVC,"Poza Rica, Ver.",0.01
-98.356667,21.297778,VER,PSNVC,"Platón Sánchez, Ver.",0
-96.795278,18.888056,VER,PTNVC,"Potrero Nuevo, Ver.",2.52
-97.710556,20.274444,VER,PZAVC,"Progreso de Zaragoza, Ver. PC",1.3
-96.713889,20.157778,VER,RAUVC,"El Raudal, Ver.",3
-96.210833,18.726944,VER,REMVC,"El Remolino Protección Civil, Ver.",0
-97.809722,20.887222,VER,SBTVC,"Sombrerete, Ver.",3.82
-96.921389,19.578611,VER,SEDVC,"Sedeño, Ver.",24.5
-95.183333,18.45,VER,SIHVC,"Sihuapán, Ver.",0
-95.133333,17.883333,VER,SJEVC,"San Juan Evangelista, Ver.",0.01
-97.293056,19.696944,VER,SNTVC,"Santa Ana, Ver. PC",0.26
-95.033333,18.516667,VER,SONVC,"Sontecomapan, Ver.",11
-95.212778,18.450833,VER,STXVC,"San Andrés Tuxtla AC, Ver.",0
-96.488889,19.338889,VER,TAMVC,"Tamarindo, Ver.",35
-96.966667,19.45,VER,TAPVC,"Tapachapan, Ver.",25.5
-96.356389,18.449167,VER,TBPVC,"Tierra Blanca AC, Ver.",0.71
-96.966667,19.383333,VER,TCOVC,"Teocelo, Ver.",34.8
-96.797778,19.674444,VER,TEPVC,"Tepetlán, Ver.",8
-97.125278,18.579722,VER,TLQVC,"Tlaquilpa, Ver.",4.24
-94.163333,17.571944,VER,TMOVC,"Tierra Morada, Ver.",33
-98.409444,21.499722,VER,TMPVC,"Tempoal, Ver.",0
