Lon,Lat,Clave,Edo,Est,Tmed
-102.32,21.7,MMAS,AGS,Aeropuerto Internacional de Aguascalientes Ags.*,22.1
-102.37,21.78,NGRAG,AGS,El Ni·gara Ags.,22.1
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,24.8
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,23.1
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,22.5
-101.99,21.9,CNSAG,AGS,Los Conos Ags.,21.0
-102.68,22,CDRAG,AGS,La Codorniz Ags.,22.7
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,21.6
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,21.0
-102.28,22.15,PBLAG,AGS,PabellÛn Ags.,21.0
-102.46,22.19,P50ANIV,AGS,Presa Cincuenta Aniversario Ags. SMN*,21.2
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,20.2
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,20.8
-102.61,22.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,15.1
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,13.7
-102.07,22.1,VJZAG,AGS,Villa Ju·rez Ags.,20.5
-102.18,21.74,BRTAG,AGS,San Bartolo Ags.,23.3
-102.13,21.81,TNJAG,AGS,La Tinaja 2 Ags.,21.0
-102.11,21.88,SNVAG,AGS,Sandovales Ags.,16.1
-101.97,21.92,PALAG,AGS,Palo Alto Ags.,21.4
-102.2,22.01,CHOAG,AGS,CaÒada Honda Ags.,22.7
-102,22.02,NVLAG,AGS,El Novillo Ags.,18.5
-102.19,21.83,CLVAG,AGS,Calvillo Ags.,19.3
-102.29,21.85,AGUASCALIENTESo,AGS,Observatorio de Aguascalientes Ags. SGT*,22.1
-102.46,22.19,ANVAG,AGS,Cincuenta Aniversario Ags.,21.1
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,24.0
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,19.4
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,19.8
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,21.0
-116.83,32.47,EFLBN,BC,El Florido B.C.,20.5
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,21.8
-114.73,32.7,PDMBN,BC,Presa derivadora Morelos B.C.,31.8
-115.27,32.39,MXCBN,BC,Mexicali B.C.,35.2
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,18.3
-115.94,30.53,SQNBN,BC,San QuintÌn B.C. SMN*,18.4
