Lon,Lat,Clave,Edo,Est,Tmed
-102.32,21.7,MMAS,AGS,Aeropuerto Internacional de Aguascalientes Ags.*,14.9
-102.37,21.78,NGRAG,AGS,El Ni·gara Ags.,13.6
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,15.5
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,15.5
-101.99,21.9,CNSAG,AGS,Los Conos Ags.,14.3
-102.68,22,CDRAG,AGS,La Codorniz Ags.,17.2
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,15.8
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,14.5
-102.28,22.15,PBLAG,AGS,PabellÛn Ags.,13.6
-102.46,22.19,P50ANIV,AGS,Presa Cincuenta Aniversario Ags. SMN*,14.8
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,14.4
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,14.6
-102.61,22.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,10.0
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,6.5
-102.29,21.85,AGUASCALIENTESo,AGS,Observatorio de Aguascalientes Ags. SGT*,15.0
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,12.7
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,13.0
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,6.6
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,15.2
-116.83,32.47,EFLBN,BC,El Florido B.C.,13.9
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,15.1
-114.73,32.7,PDMBN,BC,Presa derivadora Morelos B.C.,14.8
-115.27,32.39,MXCBN,BC,Mexicali B.C.,15.0
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,12.6
-115.94,30.53,SQNBN,BC,San QuintÌn B.C. SMN*,12.5
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,13.7
-117.07,32.38,PLAYAROSARITO,BC,Playa Rosarito B.C. SMN*,14.0
-116.91,32.45,PABELARLRDGZ2,BC,Abelardo L. RodrÌguez. 2 B.C. SMN*,14.9
-116.66,32.57,TECATE,BC,Tecate B.C. SMN*,12.7
-115.15,32.41,ENLBN,BC,Observatorio de Ejido Nuevo LeÛn B.C.,13.7
-115.29,32.67,MEXBN,BC,Mexicali B.C. SMN*,14.1
-115.5,31.1,ISANPEDR1,BC,San Pedro M·rtir B.C. UNAM*,2.6
-116.97,32.54,MMTJ,BC,Aeropuerto Internacional de Tijuana B.C.*,13.2
-115.25,32.63,MMML,BC,Aeropuerto Internacional de Mexicali B.C.*,12.4
-115.92,32.04,CONST1857,BC,ConstituciÛn de 1857 B.C. SMN*,3.5
-116.17,31.1,ENSBN,BC,Observatorio de Ensenada B.C.,13.7
-116.64,31.7,PTBBN,BC,Punta Banda B.C.,14.7
-114.83,30.99,SANFELIPEMAR,BC,San Felipe B.C. SEMAR*,13.5
-117.25,32.42,ISLACORONADOMAR,BC,Isla Coronado B.C. SEMAR*,14.7
-115.95,30.6,SANISIDROS,BC,San Isidro B.C. SIMARBC*,10.4
-116.38,31.27,ERENDIRA,BC,Erendira B.C. SIMARBC*,12.4
-116.41,31.56,SANTOTOMASS,BC,Santo Tom·s B.C. SIMARBC*,10.8
-116.61,31.7,MANEADERO,BC,Maneadero B.C. SIMARBC*,11.7
-116.62,32.07,ELPORVENIRS,BC,El Porvenir B.C. SIMARBC*,9.8
-116.52,32.12,GUADALUPES,BC,Guadalupe B.C. SIMARBC*,12.4
-116.65,32.38,LASPALMASS,BC,Las Palmas B.C. SIMARBC*,11.9
-115.04,32.67,ANDRADE,BC,Andrade B.C. SIMARBC*,11.8
-116.21,32.27,RUMOROSA,BC,La Rumorosa B.C. SMN*,7.0
-115.37,32.54,MEXICALIS,BC,Mexicali B.C. SIMARBC*,11.5
-116.62,31.85,ENSENADAmar,BC,Ensenada B.C. SEMAR*,14.5
-116.24,31.91,OJOSNEGROS,BC,Ojos Negros B.C. SIMARBC*,9.0
-111.35,26.01,BLORETO,BCS,BahÌa de Loreto B.C.S. SMN*,17.8
-109.92,22.89,SANLUCAS,BCS,Cabo San Lucas B.C.S. SMN*,20.8
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,20.8
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,15.7
-109.71,23.12,SJCBS,BCS,San JosÈ del Cabo B.C.S.,18.6
-110.21,23.48,TSNBS,BCS,Todos Santos B.C.S.,18.3
-109.71,23.49,SNTBS,BCS,Santiago B.C.S.,15.8
-109.59,23.59,RBRBS,BCS,La Ribera B.C.S.,16.2
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,19.3
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,14.7
-110.06,23.8,SANBS,BCS,San Antonio B.C.S.,17.8
-109.93,23.97,PLNBS,BCS,Los Planes B.C.S.,16.5
-110,24.08,SARBS,BCS,El Sargento B.C.S.,17.0
-113.46,27.64,DORBS,BCS,DÌaz Ordaz B.C.S.,11.7
-114.05,27.96,GNGBS,BCS,Guerrero Negro B.C.S.,13.1
-111.98,26.9,MLGBS,BCS,MulegÈ B.C.S.,14.5
-110,23.56,SLAGUNA,BCS,Sierra La Laguna B.C.S. SMN*,14.6
-110.37,24.15,LPZBS,BCS,Observatorio de La Paz B.C.S.,18.6
-111.66,25.01,CCNBS,BCS,Observatorio de Ciudad ConstituciÛn B.C.S.,16.9
-111.35,26.01,LRTBS,BCS,Observatorio de Loreto B.C.S.,17.6
-112.27,27.34,SRLBS,BCS,Observatorio de Santa RosalÌa B.C.S.,16.2
-109.72,23.14,MMSD,BCS,Aeropuerto Internacional de Los Cabos B.C.S.*,18.9
-110.37,24.08,MMLP,BCS,Aeropuerto Internacional de La Paz B.C.S.*,17.0
-111.35,25.99,MMLT,BCS,Aeropuerto Internacional de Loreto B.C.S.*,19.1
-110.32,24.12,LAPAZob,BCS,Observatorio de La Paz B.C.S. SMN*,19.0
-111.83,24.48,PCORTESMAR,BCS,Puerto CortÈs B.C.S. SEMAR*,18.3
-109.94,22.95,MMSL,BCS,AerÛdromo Internacional de Cabo San Lucas B.C.S.,18.1
-114.02,27.98,UABCSCGNJ,BCS,UABCS Campus Guerrero Negro B.C.S. JCAS*,12.5
-113.46,27.64,DIAZORDAZBN,BCS,Gustavo Diaz Ordaz B.C.S. SMN*,14.4
-112.25,27.28,STAROSALIAob,BCS,Observatorio de Santa RosalÌa B.C.S. SMN*,17.5
-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,18.3
-111.65,25.01,CDCONSTITUCIONo,BCS,Ciudad ConstituciÛn Ob B.C.S. SGT*,17.3
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,23.4
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,24.1
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,24.9
-90.74,18.6,ESCCA,CAMP,Esc·rcega Camp.,26.3
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,25.4
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,22.8
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,23.6
-90.72,19.36,CHMCA,CAMP,ChampotÛn Camp.,25.3
-90.22,19.61,NYXCA,CAMP,Noh-YaxchÈ Camp.,24.6
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,23.6
-90.56,19.83,CMPCA,CAMP,Campeche Camp.,25.4
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,25.2
-90.11,20.18,HECCA,CAMP,Hecelchak·n Camp.,24.5
-90.82,18.06,MONCLOVACAMP,CAMP,Monclova Camp. SMN*,27.4
-90.5,19.81,MMCP,CAMP,Aeropuerto Internacional de Campeche Camp.*,24.0
-89.89,18.36,CALCA,CAMP,Calakmul Camp. SMN*,23.3
-90.31,19.01,YOHALTUM,CAMP,Yohalt˙n Camp. SMN*,23.8
-92.1,18.25,PALIZADACA,CAMP,Palizada Camp. SMN*,24.8
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,24.5
